Name, Latitude, Longitude
New England College, 43.1778° N, 71.8214° W
Southern New Hampshire University, 43.0382° N, 71.4494° W
University of New Hampshire-Main Campus, 43.1389° N, 70.9370° W
Keene State College, 42.9254° N, 72.2803° W
University of New Hampshire at Manchester, 42.9871° N, 71.4687° W
Plymouth State University, 43.7606° N, 71.6861° W
Rivier University, 42.7393° N, 71.4541° W
Saint Anselm College, 42.9847° N, 71.5060° W
St Joseph School of Nursing, 42.7501° N, 71.4784° W
Eastwick College-Hackensack, 40.8859° N, 74.0404° W
Bloomfield College, 40.7952° N, 74.1948° W
Caldwell College, 40.8341° N, 74.2721° W
Centenary College, 32.4847° N, 93.7322° W
Drew University, 40.7602° N, 74.4266° W
duCret School of Arts, 40.6049° N, 74.4195° W
Fairleigh Dickinson University-Metropolitan Campus, 40.8982° N, 74.0325° W
Felician College, 40.8982° N, 74.0303° W
Fairleigh Dickinson University-College at Florham, 40.7832° N, 74.4402° W
Georgian Court University, 40.7762° N, 74.4321° W
Rowan University, 39.7100° N, 75.1192° W
Eastwick College-Ramsey, 41.0580° N, 74.1315° W
Holy Name Medical Center School of Nursing, 40.8749° N, 73.9490° W
New Jersey City University, 40.7097° N, 74.0876° W
Joe Kubert School of Cartoon and Graphic Art, 40.8873° N, 74.5526° W
Kean University, 40.6802° N, 74.2331° W
Monmouth University, 40.2803° N, 74.0054° W
Montclair State University, 40.8666° N, 74.1976° W
Muhlenberg Harold B and Dorothy A Snyder Schools-School of Nursing, 40.6059° N, 74.4066° W
New Jersey Institute of Technology, 40.7423° N, 74.1793° W
Omega Institute, 41.8856° N, 73.8205° W
Princeton University, 40.3431° N, 74.6551° W
Rabbinical College of America, 40.8059° N, 74.4987° W
Ramapo College of New Jersey, 41.0816° N, 74.1761° W
Rider University, 40.2812° N, 74.7408° W
Rutgers University-Camden, 39.9484° N, 75.1217° W
Rutgers University-New Brunswick, 40.5008° N, 74.4474° W
Rutgers University-Newark, 40.7419° N, 74.1728° W
Saint Peter's University, 40.7269° N, 74.0700° W
Seton Hall University, 40.7431° N, 74.2461° W
College of Saint Elizabeth, 40.7827° N, 74.4306° W
Stevens Institute of Technology, 40.7448° N, 74.0256° W
The Richard Stockton College of New Jersey, 39.4930° N, 74.5338° W
The College of New Jersey, 40.2685° N, 74.7776° W
William Paterson University of New Jersey, 40.9476° N, 74.1968° W
Eastern New Mexico University-Main Campus, 34.1769° N, 103.3486° W
Institute of American Indian and Alaska Native Culture, 35.5871° N, 106.0122° W
New Mexico Military Institute, 33.4092° N, 104.5250° W
New Mexico Institute of Mining and Technology, 34.0660° N, 106.9056° W
University of New Mexico-Main Campus, 35.0843° N, 106.6198° W
New Mexico State University-Main Campus, 32.2793° N, 106.7491° W
Santa Fe University of Art and Design, 35.6570° N, 105.9776° W
Vaughn College of Aeronautics and Technology, 40.7678° N, 73.8824° W
Adelphi University, 40.7202° N, 73.6517° W
Albany College of Pharmacy and Health Sciences, 42.6522° N, 73.7788° W
Alfred University, 42.2538° N, 77.7879° W
The Ailey School, 40.7669° N, 73.9869° W
American Academy of Dramatic Arts-New York, 40.7456° N, 73.9848° W
American Musical and Dramatic Academy, 40.7722° N, 73.9876° W
Arnot Ogden Medical Center, 42.1001° N, 76.8276° W
Associated Beth Rivkah Schools, 40.6661° N, 73.9498° W
Bard College, 42.0231° N, 73.9093° W
Barnard College, 40.8095° N, 73.9634° W
Beth Hatalmud Rabbinical College, 40.6052° N, 73.9927° W
Beth Hamedrash Shaarei Yosher Institute, 40.6274° N, 73.9783° W
Canisius College, 42.9238° N, 78.8551° W
Cazenovia College, 42.9320° N, 75.8538° W
Central Yeshiva Tomchei Tmimim Lubavitz, 40.6484° N, 73.9738° W
Circle in the Square Theater School, 40.7622° N, 73.9845° W
Clarkson University, 44.6648° N, 74.9933° W
Colgate University, 42.8156° N, 75.5407° W
Metropolitan College of New York, 40.7086° N, 74.0150° W
Columbia University in the City of New York, 40.8075° N, 73.9626° W
Concordia College-New York, 40.8075° N, 73.9626° W
Cooper Union for the Advancement of Science and Art, 40.7281° N, 73.9916° W
Cornell University, 42.4534° N, 76.4735° W
Crouse Hospital College of Nursing, 43.0402° N, 76.1375° W
Culinary Institute of America, 41.7457° N, 73.9333° W
CUNY Bernard M Baruch College, 40.7405° N, 73.9833° W
CUNY Brooklyn College, 40.6311° N, 73.9524° W
College of Staten Island CUNY, 40.6022° N, 74.1504° W
CUNY City College, 40.8200° N, 73.9493° W
CUNY Hunter College, 40.7678° N, 73.9645° W
CUNY John Jay College of Criminal Justice, 40.7703° N, 73.9883° W
CUNY Lehman College, 40.8729° N, 73.8945° W
CUNY Medgar Evers College, 40.6669° N, 73.9570° W
CUNY New York City College of Technology, 40.6954° N, 73.9897° W
CUNY Queens College, 40.7367° N, 73.8203° W
CUNY York College, 40.7010° N, 73.7961° W
D'Youville College, 42.9033° N, 78.8906° W
Daemen College, 42.9656° N, 78.7889° W
Dominican College of Blauvelt, 41.0480° N, 73.9505° W
Dowling College, 40.7422° N, 73.1481° W
Belanger School of Nursing, 42.8030° N, 73.9159° W
Elmira College, 42.0968° N, 76.8154° W
Fashion Institute of Technology, 40.7473° N, 73.9950° W
Five Towns College, 40.7948° N, 73.3693° W
Fordham University, 40.8620° N, 73.8857° W
Hamilton College, 43.0528° N, 75.4060° W
Hartwick College, 42.4587° N, 75.0718° W
Hilbert College, 42.7536° N, 78.8214° W
Hobart William Smith Colleges, 42.8558° N, 76.9869° W
Hofstra University, 40.7167° N, 73.5994° W
Houghton College, 42.4283° N, 78.1526° W
Iona College, 40.9271° N, 73.7863° W
Ithaca College, 2.4199° N, 76.4969° W
Jewish Theological Seminary of America, 40.8119° N, 73.9606° W
The Juilliard School, 40.7738° N, 73.9828° W
Keuka College, 42.6152° N, 77.0905° W
LIM College, 40.7560° N, 73.9801° W
Le Moyne College, 43.0497° N, 76.0855° W
LIU Brooklyn, 40.6911° N, 73.9806° W
LIU Post, 40.8155° N, 73.5909° W
Machzikei Hadath Rabbinical College, 40.6280° N, 73.9885° W
Manhattan College, 40.8901° N, 73.9011° W
Manhattan School of Music, 40.8127° N, 73.9616° W
Manhattanville College, 41.0322° N, 73.7158° W
Maria College of Albany, 42.6581° N, 73.8065° W
Marist College, 41.7231° N, 73.9345° W
Marymount Manhattan College, 40.7687° N, 73.9597° W
Medaille College, 42.9286° N, 78.8559° W
Memorial School of Nursing, 33.8006° N, 84.2221° W
Mercy College, 41.0222° N, 73.8735° W
Mesivta Torah Vodaath Rabbinical Seminary, 40.6382° N, 73.9715° W
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech, 40.6255° N, 73.9795° W
Mesivtha Tifereth Jerusalem of America, 40.7138° N, 73.9913° W
Southern Westchester BOCES-Practical Nursing Program, 41.0217° N, 73.6854° W
Molloy College, 40.6863° N, 73.6272° W
Monroe College, 40.8645° N, 73.9002° W
Mount Saint Mary College, 41.5114° N, 74.0131° W
College of Mount Saint Vincent, 40.9126° N, 73.9029° W
Nazareth College, 43.1029° N, 77.5196° W
The College of New Rochelle, 40.9019° N, 73.7817° W
The New School, 40.7355° N, 73.9971° W
New York University, 40.7295° N, 73.9965° W
Niagara University, 43.1370° N, 79.0350° W
New York Institute of Technology, 40.8081° N, 73.6033° W
New York School of Interior Design, 40.7686° N, 73.9625° W
Nyack College, 40.7057° N, 74.0156° W
Ohr Hameir Theological Seminary, 41.2691° N, 73.8890° W
Pace University-New York, 40.7113° N, 74.0052° W
Paul Smiths College of Arts and Science, 44.4375° N, 74.2531° W
Plaza College, 40.7149° N, 73.8310° W
Polytechnic Institute of New York University, 40.6944° N, 73.9866° W
Davis College, 42.1011° N, 75.9624° W
Pratt Institute-Main, 40.6914° N, 73.9630° W
Rabbinical Academy Mesivta Rabbi Chaim Berlin, 40.6186° N, 73.9636° W
Rabbinical College Beth Shraga, 41.1143° N, 74.0748° W
Rensselaer Polytechnic Institute, 42.7298° N, 73.6789° W
Roberts Wesleyan College, 43.1257° N, 77.7985° W
Rochester Institute of Technology, 43.0848° N, 77.6715° W
University of Rochester, 43.1306° N, 77.6260° W
The Sage Colleges, 42.7273° N, 73.6939° W
St Bonaventure University, 42.0786° N, 78.4829° W
St Francis College, 40.6901° N, 73.9865° W
St Joseph's College of Nursing at St Joseph's Hospital Health Center, 43.0552° N, 76.1486° W
St Lawrence University, 44.5892° N, 75.1609° W
The College of Saint Rose, 42.6643° N, 73.7867° W
St Thomas Aquinas College, 41.0418° N, 73.9358° W
Samaritan Hospital School of Nursing, 42.7431° N, 73.6763° W
Sarah Lawrence College, 40.9346° N, 73.8456° W
Siena College, 42.7189° N, 73.7513° W
Skidmore College, 43.0959° N, 73.7852° W
Saint Joseph's College-New York, 40.6906° N, 73.9677° W
Saint John Fisher College, 43.1139° N, 77.5112° W
St John's University-New York, 40.7219° N, 73.7956° W
SUNY College of Technology at Alfred, 42.2552° N, 77.7947° W
SUNY College of Technology at Canton, 44.6029° N, 75.1856° W
SUNY College of Technology at Delhi, 42.2707° N, 74.9267° W
SUNY College of Agriculture and Technology at Cobleskill, 42.6737° N, 74.4974° W
Farmingdale State College, 40.7529° N, 73.4267° W
Morrisville State College, 42.8935° N, 75.6405° W
SUNY at Albany, 42.6526° N, 73.7562° W
SUNY at Binghamton, 42.0894° N, 75.9695° W
University at Buffalo, 43.0008° N, 78.7890° W
Stony Brook University, 40.9048° N, 73.1240° W
SUNY College of Environmental Science and Forestry, 43.0345° N, 76.1366° W
SUNY Institute of Technology at Utica-Rome, 43.1375° N, 75.2273° W
SUNY College at Brockport, 43.2104° N, 77.9511° W
Buffalo State SUNY, 42.9325° N, 78.8790° W
SUNY College at Cortland, 42.5990° N, 76.1878° W
SUNY at Fredonia, 42.4532° N, 79.3407° W
SUNY College at Geneseo, 42.7960° N, 77.8239° W
State University of New York at New Paltz, 41.7386° N, 74.0852° W
SUNY Oneonta, 42.4688° N, 75.0652° W
SUNY College at Oswego, 43.4514° N, 76.5440° W
SUNY College at Potsdam, 44.6615° N, 74.9730° W
SUNY at Purchase College, 41.0471° N, 73.7004° W
SUNY College at Old Westbury, 40.7971° N, 73.5718° W
SUNY College at Plattsburgh, 44.6926° N, 73.4669° W
SUNY Empire State College, 43.0773° N, 73.7824° W
SUNY Maritime College, 40.8074° N, 73.7968° W
Syracuse University, 43.0392° N, 76.1351° W
Talmudical Seminary Oholei Torah, 40.6700° N, 73.9456° W
Talmudical Institute of Upstate New York, 43.1470° N, 77.5772° W
Torah Temimah Talmudical Seminary, 40.6348° N, 73.9719° W
Touro College, 40.7567° N, 73.9867° W
Trocaire College, 42.9525° N, 78.6923° W
Union College, 42.8191° N, 73.9284° W
Utica College, 43.0950° N, 75.2712° W
Vassar College, 41.6867° N, 73.8937° W
Villa Maria College, 42.9128° N, 78.7974° W
School of Visual Arts, 40.7388° N, 73.9823° W
Wagner College, 40.6150° N, 74.0944° W
Webb Institute, 40.8846° N, 73.6441° W
Wells College, 42.7443° N, 76.6966° W
Yeshiva Karlin Stolin, 40.3699° N, 74.3973° W
Yeshivat Mikdash Melech, 40.6162° N, 73.9695° W
Yeshiva Derech Chaim, 40.6369° N, 73.9798° W
Yeshiva University, 40.8506° N, 73.9297° W
Yeshivath Viznitz, 41.1148° N, 74.0702° W
Yeshivath Zichron Moshe, 41.7257° N, 74.6250° W
Appalachian State University, 36.2136° N, 81.6843° W
Barton College, 35.7364° N, 77.9132° W
Belmont Abbey College, 35.2612° N, 81.0445° W
Bennett College, 36.0679° N, 79.7792° W
Brevard College, 35.2367° N, 82.7295° W
Cabarrus College of Health Sciences, 35.4400° N, 80.6009° W
Campbell University, 35.4082° N, 78.7398° W
Carolina School of Broadcasting, .2558° N, 80.9840° W
Catawba College, 35.6896° N, 80.4812° W
Chowan University, 36.4334° N, 77.0979° W
Davidson College, 35.5016° N, 80.8423° W
Duke University, 36.0014° N, 78.9382° W
East Carolina University, 35.6069° N, 77.3665° W
Elizabeth City State University, 36.2811° N, 76.2140° W
Elon University, 36.1028° N, 79.5024° W
Fayetteville State University, 35.0742° N, 78.8925° W
Gardner-Webb University, 35.2475° N, 81.6707° W
Greensboro College, 36.0710° N, 79.8003° W
Guilford College, 36.0918° N, 79.8887° W
High Point University, 35.9765° N, 79.9976° W
Laurel University, 35.9943° N, 79.9984° W
Johnson C Smith University, 35.2434° N, 80.8558° W
Lees-McRae College, 36.1618° N, 81.8754° W
Lenoir-Rhyne University, 35.7414° N, 81.3262° W
Livingstone College, 35.6715° N, 80.4847° W
Louisburg College, 36.1050° N, 78.2982° W
Mars Hill University, 35.8267° N, 82.5517° W
Meredith College, 35.7982° N, 78.6886° W
Methodist University, 35.1296° N, 78.8671° W
Montreat College, 35.6465° N, 82.2975° W
Mount Olive College, 35.2078° N, 78.0711° W
North Carolina A & T State University, 36.0770° N, 79.7718° W
University of North Carolina at Asheville, 35.6162° N, 82.5661° W
University of North Carolina at Chapel Hill, 35.9049° N, 79.0469° W
University of North Carolina at Charlotte, 35.3071° N, 80.7352° W
University of North Carolina at Greensboro, 36.0689° N, 79.8102° W
North Carolina Central University, 35.9752° N, 78.8997° W
University of North Carolina School of the Arts, 36.0763° N, 80.2370° W
North Carolina State University at Raleigh, 35.7847° N, 78.6821° W
North Carolina Wesleyan College, 36.0186° N, 77.7742° W
University of North Carolina Wilmington, 34.2239° N, 77.8696° W
William Peace University, 35.7895° N, 78.6374° W
University of North Carolina at Pembroke, 34.6899° N, 79.2006° W
Pfeiffer University, 35.4843° N, 80.2834° W
Piedmont International University, 36.0880° N, 80.2500° W
Queens University of Charlotte, 35.1886° N, 80.8330° W
Mid-Atlantic Christian University, 36.3046° N, 76.2171° W
Saint Augustine's University, 35.7877° N, 78.6189° W
Salem College, 36.0875° N, 80.2412° W
Shaw University, 35.7710° N, 78.6379° W
St Andrews University, 56.3417° N, 2.7943° W
Wake Forest University, 36.1355° N, 80.2793° W
Warren Wilson College, 35.6111° N, 82.4423° W
Wingate University, 34.9858° N, 80.4440° W
Winston-Salem State University, 36.0898° N, 80.2250° W
Western Carolina University, 35.3090° N, 83.1864° W
Rasmussen College-North Dakota, 46.8376° N, 100.7661° W
Dickinson State University, 46.8825° N, 102.8026° W
University of Jamestown, 46.9160° N, 98.7019° W
University of Mary, 46.7238° N, 100.7520° W
Minot State University, 48.2486° N, 101.3014° W
University of North Dakota, 47.9229° N, 97.0768° W
North Dakota State University-Main Campus, 46.8978° N, 96.8024° W
Valley City State University, 46.9189° N, 98.0028° W
The Art Institute of Cincinnati, 39.2888° N, 84.3179° W
Akron Institute of Herzing University, 41.0282° N, 81.4924° W
University of Akron Main Campus, 41.0754° N, 81.5123° W
Akron School of Practical Nursing, 41.0991° N, 81.5721° W
Art Academy of Cincinnati, 39.1089° N, 84.5139° W
Ashland University, 40.8618° N, 82.3232° W
Aultman College of Nursing and Health Sciences, 40.7948° N, 81.4064° W
Baldwin Wallace University, 41.3711° N, 81.8478° W
Bluffton University, 40.8970° N, 83.8970° W
Bowling Green State University-Main Campus, 41.3798° N, 83.6301° W
Butler Tech-D Russel Lee Career Center, 39.4093° N, 84.4931° W
Canton City Schools Adult Career and Technical Education, 40.8258° N, 81.3255° W
Capital University, 39.9551° N, 82.9375° W
Case Western Reserve University, 41.5043° N, 81.6084° W
Cedarville University, 39.7495° N, 83.8126° W
Central State University, 39.7170° N, 83.8774° W
The Christ College of Nursing and Health Sciences, 39.1218° N, 84.5117° W
Cincinnati Christian University, 39.1150° N, 84.5556° W
University of Cincinnati-Main Campus, 39.1329° N, 84.5150° W
Ohio Christian University, 39.6123° N, 82.9058° W
Cleveland Institute of Art, 41.5105° N, 81.6025° W
Cleveland Institute of Music, 41.5121° N, 81.6091° W
Cleveland State University, 41.5028° N, 81.6744° W
Columbus College of Art and Design, 39.9649° N, 82.9922° W
University of Dayton, 39.7401° N, 84.1790° W
Defiance College, 41.2963° N, 84.3598° W
Denison University, 40.0735° N, 82.5227° W
The University of Findlay, 41.0538° N, 83.6534° W
Gods Bible School and College, 39.1158° N, 84.5061° W
Good Samaritan College of Nursing and Health Science, 39.1400° N, 84.5229° W
Hannah E Mullins School of Practical Nursing, 40.9024° N, 80.8510° W
Adult and Community Education-Hudson, 40.0126° N, 82.9828° W
Hiram College, 41.3107° N, 81.1440° W
ITT Technical Institute-Dayton, 39.8357° N, 84.1874° W
John Carroll University, 41.4906° N, 81.5298° W
Hondros College, 40.9657° N, 81.4734° W
Casal Aveda Institute, 41.2132° N, 80.7536° W
Kent State University at Kent, 41.1498° N, 81.3433° W
Kenyon College, 40.3762° N, 82.3958° W
Kettering College, 39.6949° N, 84.1925° W
Lake Erie College, 41.7160° N, 81.2521° W
Lourdes University, 41.7105° N, 83.7061° W
Malone University, 40.8266° N, 81.3794° W
Marietta College, 39.4165° N, 81.4521° W
Mercy College of Ohio, 41.6584° N, 83.5534° W
Miami University-Oxford, 39.5087° N, 84.7345° W
Mount Carmel College of Nursing, 39.9563° N, 83.0212° W
University of Mount Union, 40.9056° N, 81.1092° W
Mount Vernon Nazarene University, 40.3746° N, 82.4711° W
College of Mount St Joseph, 39.0950° N, 84.6380° W
Muskingum University, 39.9996° N, 81.7379° W
Notre Dame College, 41.7056° N, 86.2353° W
Oberlin College, 41.2959° N, 82.2211° W
Ohio Dominican University, 39.9940° N, 82.9399° W
Ohio Northern University, 40.7657° N, 83.8328° W
Ohio State University-Main Campus, 40.0067° N, 83.0305° W
Ohio University-Main Campus, 39.3244° N, 82.1014° W
Ohio Wesleyan University, 40.2966° N, 83.0710° W
Otterbein University, 40.1269° N, 82.9372° W
Cuyahoga Valley Career Center, 41.3445° N, 81.6244° W
Professional Skills Institute, 41.5840° N, 83.6748° W
Rabbinical College Telshe, 41.5935° N, 81.4857° W
Advertising Art Educational Services DBA School of Advertising Art, 39.6813° N, 84.1363° W
Franciscan University of Steubenville, 33.8480° N, 84.3718° W
Tiffin University, 41.1197° N, 83.1872° W
University of Toledo, 41.6579° N, 83.6142° W
Ursuline College, 42.4063° N, 82.1955° W
Virginia Marti College of Art and Design, 41.4840° N, 81.7718529° W
Walsh University, 40.8737° N, 81.3697° W
Wilberforce University, 39.7104° N, 83.8794° W
Wilmington College, 39.4448° N, 83.8182° W
Wittenberg University, 39.9351° N, 83.8139° W
The College of Wooster, 40.8104° N, 81.9311° W
Xavier University, 39.1499° N, 84.4741° W
ITT Technical Institute-Youngstown, 41.1251° N, 80.7142° W
Bacone College, 35.7744° N, 95.3343° W
Oklahoma Wesleyan University, 36.71750° N, 95.95667° W
University of Central Oklahoma, 35.6575° N, 97.4709° W
East Central University, 34.7729° N, 96.6598° W
Hillsdale Free Will Baptist College, 35.3008° N, 97.4910° W
Spartan College of Aeronautics and Technology, 36.1764° N, 95.8789° W
Northeastern State University, 35.9211° N, 94.9659° W
Northwestern Oklahoma State University, 36.7967° N, 98.6683° W
Oklahoma Christian University, 35.6126° N, 97.4698° W
Aquinas College, 42.9562° N, 85.6192° W
Calvin College, 42.9366° N, 85.5889° W
Central Michigan University, 43.5913° N, 84.7750° W
Cleary University, 42.5316° N, 83.7899° W
College for Creative Studies, 42.3548° N, 83.0636° W
Davenport University, 42.9405° N, 85.5755° W
MIAT College of Technology, 42.2211° N, 83.3253° W
University of Detroit Mercy, 42.4149° N, 83.1247° W
Eastern Michigan University, 42.2504° N, 83.6168° W
Ferris State University, 43.6994° N, 85.4884° W
Flint Institute of Barbering Inc, 43.0158° N, 83.6969° W
Kettering University, 43.0254° N, 83.7090° W
Grace Bible College, 42.8353° N, 85.7709° W
Cornerstone University, 43.0382° N, 85.6432° W
Grand Valley State University, 42.9651° N, 85.8886° W
Hope College, 42.7897° N, 86.1056° W
ITT Technical Institute-Wyoming, 42.8979° N, 85.6718° W
Kalamazoo College, 42.2907° N, 85.6062° W
Lake Superior State University, 46.4895° N, 84.3595° W
Lawrence Technological University, 42.4765° N, 83.2450° W
Madonna University, 42.4005° N, 83.3323° W
Marygrove College, 42.4103° N, 83.1407° W
Rochester College, 42.6731° N, 83.1287° W
University of Michigan-Ann Arbor, 42.2808° N, 83.7430° W
Michigan State University, 42.7018° N, 84.4822° W
Alabama A&M University, 34.7847° N, 86.5682° W
University of Alabama at Birmingham, 33.5024° N, 86.8092° W
University of Alabama in Huntsville, 34.7244° N, 86.6404° W
Alabama State University, 32.3643° N, 86.2957° W
The University of Alabama, 33.2118° N, 87.5457° W
Auburn University at Montgomery, 32.3699° N, 86.1779° W
Auburn University, 32.6026° N, 85.4892° W
Birmingham Southern College, 33.5181° N, 86.8504° W
South University-Montgomery, 32.3464° N, 86.1892° W
Herzing University-Birmingham, 33.4494° N, 86.7328° W
Huntingdon College, 32.3613° N, 86.2803° W
Jacksonville State University, 33.8257° N, 85.7669° W
Judson College, 32.5821° N, 87.1191° W
University of West Alabama, 32.5907° N, 88.1737° W
Marion Military Institute, 32.6317° N, 87.3167° W
University of Mobile, 30.8542° N, 88.0799° W
University of Montevallo, 33.1064° N, 86.8644° W
University of North Alabama, 34.8074° N, 87.6817° W
Oakwood University, 34.7657° N, 86.6272° W
Samford University, 33.4719° N, 86.7911° W
University of South Alabama, 30.6954° N, 88.1752° W
Spring Hill College, 30.6937° N, 88.1109° W
Southeastern Bible College, 33.4903° N, 86.7228° W
Stillman College, 33.2152° N, 87.5607° W
Troy University, 31.8019° N, 85.9575° W
Tuskegee University, 32.4244° N, 85.7083° W
Alaska Pacific University, 61.1898° N, 149.8269° W
Carrington College-Phoenix, 33.6052° N, 112.1166° W
Carrington College-Mesa, 33.4287° N, 111.7434° W
Carrington College-Tucson, 32.2159° N, 110.9443° W
Arizona State University-Tempe, 33.4242° N, 111.9281° W
University of Arizona, 32.2323° N, 110.9507° W
Embry-Riddle Aeronautical University-Prescott, 34.6157° N, 112.4478° W
Grand Canyon University, 33.5186° N, 112.1466° W
ITT Technical Institute-Tucson, 32.2319° N, 110.8652° W
ITT Technical Institute-Tempe, 33.4255° N, 111.9418° W
Northern Arizona University, 35.1872° N, 111.6513° W
Prescott College, 34.5402° N, 112.4685° W
Arizona Christian University, 33.6057° N, 112.1777° W
University of Arkansas at Little Rock, 34.7248° N, 92.3433° W
Lyon College, 35.7919° N, 91.6475° W
University of Arkansas, 36.0665° N, 94.1735° W
University of Arkansas at Pine Bluff, 34.2374° N, 92.0132° W
Arkansas State University-Main Campus, 35.8456° N, 90.6775° W
Arkansas Tech University, 35.2435° N, 93.0933° W
Baptist Health Schools-Little Rock, 34.7416° N, 92.2916° W
University of Central Arkansas, 35.0779° N, 92.4455° W
Central Baptist College, 35.0797° N, 92.4046° W
Harding University, 35.2443° N, 91.7362° W
Henderson State University, 34.1266° N, 93.0665° W
Hendrix College, 35.0875° N, 92.4445° W
John Brown University, 36.1819° N, 94.5314° W
Ouachita Baptist University, 34.3115° N, 92.9628° W
University of the Ozarks, 35.4765° N, 93.7194° W
University of Arkansas Community College-Morrilton, 35.1834° N, 92.7513° W
Williams Baptist College, 36.1913° N, 90.9479° W
Southern Arkansas University Main Campus, 33.1401° N, 93.2327° W
University of Arkansas-Fort Smith, 35.3821° N, 94.3947° W
ITT Technical Institute-Rancho Cordova, 38.6102° N, 121.2710° W
American Academy of Dramatic Arts-Los Angeles, 34.1010° N, 118.3251° W
Art Center College of Design, 34.1834° N, 118.1720° W
Azusa Pacific University, 34.1356° N, 117.8817° W
Bethesda University of California, 34.0499° N, 118.1565° W
Biola University, 33.9069° N, 118.0133° W
Brooks Institute, 34.4152° N, 119.8564° W
California Baptist University, 33.9172° N, 117.4254° W
California College of the Arts, 37.8364° N, 122.2675° W
California Institute of Technology, 34.1370° N, 118.1253° W
California Lutheran University, 34.2427° N, 118.5341° W
California Polytechnic State University-San Luis Obispo, 35.3049° N, 120.6620° W
California State University-Bakersfield, 35.3509° N, 119.1056° W
California State University-Stanislaus, 37.5057° N, 120.8476° W
California State University-San Bernardino, 34.1830° N, 117.3214° W
California State Polytechnic University-Pomona, 34.0566° N, 117.8219° W
California State University-Chico, 39.7285° N, 121.8375° W
California State University-Dominguez Hills, 33.8642° N, 118.2506° W
California State University-Fresno, 36.8118° N, 119.7462° W
California State University-Fullerton, 33.8823° N, 117.8855° W
California State University-East Bay, 37.6565° N, 122.0575° W
California State University-Long Beach, 33.7838° N, 118.1141° W
California State University-Los Angeles, 34.0658° N, 118.1686° W
California State University-Northridge, 34.2407° N, 118.5277° W
California State University-Sacramento, 38.5615° N, 121.4252° W
University of California-Berkeley, 37.8716° N, 122.2727° W
University of California-Davis, 38.5382° N, 121.7617° W
University of California-Irvine, 33.6431° N, 117.8443° W
University of California-Los Angeles, 34.0689° N, 118.4452° W
University of California-Riverside, 33.9738° N, 117.3281° W
University of California-San Diego, 32.8801° N, 117.2340° W
University of California-Santa Barbara, 34.4140° N, 119.8489° W
University of California-Santa Cruz, 37.0000° N, 122.0609° W
California Christian College, 36.7990° N, 119.7528° W
California Institute of the Arts, 34.4007° N, 118.5686° W
California Maritime Academy, 38.0674° N, 122.2181° W
Casa Loma College-Van Nuys, 34.1902° N, 118.4436° W
Chapman University, 33.7936° N, 117.8522° W
Concordia University-Irvine, 33.6468° N, 117.8414° W
San Diego Christian College, 32.8252° N, 116.9285° W
Claremont McKenna College, 34.1015° N, 117.7085° W
Cogswell College, 37.3945° N, 121.9359° W
Coleman University, 32.7329° N, 117.1691° W
Columbia College-Hollywood, 34.1727° N, 118.3333° W
Dominican University of California, 37.9789° N, 122.5164° W
Fashion Institute of Design & Merchandising-Los Angeles, 34.0409° N, 118.2562° W
Fashion Institute of Design & Merchandising-San Francisco, 37.7879° N, 122.4007° W
Fashion Institute of Design & Merchandising-Orange County, 33.7021° N, 117.8515° W
Fresno Pacific University, 36.8376° N, 119.7775° W
Glendale Career College, 34.1492° N, 118.2468° W
Harvey Mudd College, 34.1064° N, 117.7114° W
Holy Names University, 37.8043° N, 122.1933° W
Humboldt State University, 40.8759° N, 124.0784° W
ITT Technical Institute-National City, 32.6552° N, 117.0992° W
ITT Technical Institute-San Dimas, 34.1038° N, 117.8044° W
ITT Technical Institute-Orange, 33.7888° N, 117.8439° W
American Jewish University, 34.1253° N, 118.4516° W
Life Pacific College, 34.0626° N, 117.6451° W
University of La Verne, 34.1006° N, 117.7713° W
Laguna College of Art and Design, 33.5425° N, 117.7825° W
La Sierra University, 33.9022° N, 117.4675° W
The Master's College and Seminary, 34.4139° N, 118.5614° W
Loyola Marymount University, 33.9703° N, 118.4165° W
Menlo College, 37.4515° N, 122.1839° W
Mills College, 37.7770° N, 122.1898° W
Mount St Mary's College, 34.0587° N, 118.4515° W
Musicians Institute, 34.0985° N, 118.3275° W
Newschool of Architecture and Design, 32.7106° N, 117.1542° W
North-West College-Pomona, 34.0554° N, 117.7601° W
North-West College-West Covina, 34.0737° N, 117.9144° W
North-West College-Pasadena, 34.1433° N, 118.1342° W
Notre Dame de Namur University, 37.5322° N, 122.3269° W
Occidental College, 34.1276° N, 118.2107° W
Otis College of Art and Design, 33.9953° N, 118.4169° W
Hope International University, 33.8705° N, 117.9175° W
Concorde Career College-San Diego, 32.7994° N, 117.2117° W
Pacific Union College, 38.5774° N, 122.4444° W
University of the Pacific, 37.9789° N, 121.3103° W
Pepperdine University, 34.0414° N, 118.7030° W
Pitzer College, 34.1031° N, 117.7103° W
Point Loma Nazarene University, 32.7096° N, 117.2470° W
Pomona College, 34.0977° N, 117.7119° W
University of Redlands, 34.0585° N, 117.1826° W
San Diego State University, 32.7757° N, 117.0719° W
University of San Diego, 32.7714° N, 117.1880° W
San Francisco Art Institute, 37.8033° N, 122.4170° W
San Francisco Conservatory of Music, 37.7755° N, 122.4200° W
San Francisco State University, 37.7219° N, 122.4782° W
University of San Francisco, 37.7752° N, 122.4505° W
